Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Frontside 180 Switch Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside 180 Switch Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Nollie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Nollie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Nollie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Nollie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Kickflip Nose Manual Nollie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Nollie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Nollie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Heelflip Nose Manual Nollie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Kickflip Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Heelflip Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Nollie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Nollie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Backside Pop Shuvit Nose Manual Nollie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Nollie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Nollie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Frontside Pop Shuvit Nose Manual Nollie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Backside Pop Shuvit Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Frontside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Backside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Frontside 180 Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Manual Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Switch Frontside Pop Shuvit Nose Manual Fakie Tre Flip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Frontside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Backside 180,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Fakie Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Fakie Heelflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Backside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Frontside Pop Shuvit,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
Fakie Backside Pop Shuvit Nose Manual Backside 180 Kickflip,INVALID,Manual Pad,INVALID,INVALID,INVALID,INVALID,0
