Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Backside 180 Double Heelflip,INVALID,Flat Ground,7,INVALID,8,8,0
Frontside 180 Double Heelflip,INVALID,Flat Ground,7,INVALID,8,8,0
Backside Half Cab Double Kickflip,INVALID,Flat Ground,7,INVALID,INVALID,INVALID,0
Frontside Half Cab Double Kickflip,INVALID,Flat Ground,7,INVALID,INVALID,INVALID,0
Hardflip Rewind,INVALID,Flat Ground,6,7,9,8,0
Tre Double Kickflip,360 Double Kickflip,Flat Ground,8,8,9,8,0
Varial Double Heelflip,INVALID,Flat Ground,7,INVALID,INVALID,INVALID,0
Hard Double Kickflip,INVALID,Flat Ground,7,INVALID,INVALID,INVALID,0
Inward Heelflip,INVALID,Flat Ground,5,5,6,6,0
Inward Heelflip Rewind,INVALID,Flat Ground,7,8,8,7,0
Pressure Flip,INVALID,Flat Ground,4,INVALID,INVALID,INVALID,0
Pressure Inward Heelflip,INVALID,Flat Ground,6,INVALID,INVALID,INVALID,0
Backside 360 Heelflip,INVALID,Flat Ground,8,INVALID,10,8,0
Backside 360 Kickflip,INVALID,Flat Ground,8,INVALID,10,8,0
Frontside 360 Heelflip,INVALID,Flat Ground,8,INVALID,9,8,0
Frontside 360 Kickflip,INVALID,Flat Ground,9,INVALID,9,8,0
Laser Flip,360 Heeflip,Flat Ground,8,8,9,7,0
Backside Pop Shuvit Late Kickflip,INVALID,Flat Ground,8,INVALID,INVALID,INVALID,0
Fronstside Pop Shuvit Late Kickflip,INVALID,Flat Ground,8,INVALID,INVALID,INVALID,0
Backside Biggerspin Kickflip,INVALID,Flat Ground,8,6,INVALID,INVALID,0
Nollie Biggerspin Kickflip,INVALID,Flat Ground,10,INVALID,INVALID,INVALID,0
540 Kickflip,INVALID,Flat Ground,8,8,INVALID,9,0
Backside 540 Pop Shuvit,INVALID,Flat Ground,7,7,INVALID,INVALID,0
Forward Kickflip,Dolphin Flip,Flat Ground,5,6,8,8,0
Backside Caballerial Bigspin,Fakie Gazelle,Flat Ground,5,INVALID,INVALID,INVALID,0
Backside Caballerial Bigspin Kickflip,Fakie Gazelle Kickflip,Flat Ground,7,INVALID,INVALID,INVALID,0
Backside Bigspin 360,Backside Gazelle,Flat Ground,7,INVALID,INVALID,INVALID,0
Backside Caballerial Kickflip,Fakie Backside 360 Kickflip,Flat Ground,6,INVALID,INVALID,INVALID,0
